Time_of_Breach,Breach_Type,Attack_Vector,Vulnerability_Type,Targeted_System,Data_Exfiltrated,Attack_Successful,Attack_Duration_Hours,Damage_Cost_Dollars,Incident_Response_Time_Minutes,User_Notified,Legal_Action_Taken,Cyber_Hacked
4,Phishing,Email,Misconfiguration,IoT,True,True,45,739510,193,True,True,True
8,Malware,Web,Misconfiguration,Desktop,True,True,24,752787,220,False,True,False
4,Phishing,Email,Known,Mobile,True,False,20,418179,19,True,True,True
3,Phishing,Email,Zero-day,IoT,True,True,28,34957,64,False,True,False
3,SQL Injection,Email,Zero-day,Mobile,True,True,38,735990,192,False,False,False
18,Data Leak,Email,Known,Server,False,True,24,664054,73,True,False,False
19,Data Leak,Insider,Zero-day,Server,False,True,20,748421,107,False,True,True
19,Malware,Insider,Misconfiguration,Mobile,False,True,24,579040,163,True,True,True
21,Data Leak,Physical,Known,Mobile,False,True,6,493063,93,False,True,False
5,SQL Injection,Insider,Known,Server,True,True,38,510479,165,True,True,True
18,Malware,Web,Zero-day,Server,False,True,25,976947,95,True,True,True
10,Malware,Insider,Zero-day,IoT,False,False,32,751803,145,True,False,True
22,Malware,Web,Misconfiguration,Server,False,True,17,998978,239,False,False,True
21,Data Leak,Web,Known,IoT,True,False,17,318185,64,True,True,False
6,Data Leak,Email,Zero-day,Server,True,True,5,56016,68,False,True,True
1,Data Leak,Physical,Known,IoT,True,True,17,702461,105,True,True,True
5,Malware,Email,Misconfiguration,Desktop,True,True,9,752769,158,True,False,False
9,Malware,Email,Misconfiguration,Desktop,True,True,20,998799,20,False,False,False
12,Phishing,Insider,Misconfiguration,IoT,False,True,2,259695,55,False,False,True
14,Phishing,Insider,Known,Mobile,True,True,19,288011,196,False,False,False
2,Data Leak,Web,Known,Desktop,False,True,9,248193,24,True,False,False
17,Malware,Insider,Known,Server,False,True,40,804428,132,True,False,False
14,Data Leak,Insider,Known,Mobile,False,False,19,380472,171,True,False,False
13,Data Leak,Network,Known,Server,True,False,45,581728,201,True,False,False
9,Phishing,Web,Misconfiguration,Desktop,False,False,4,565734,95,True,False,True
15,SQL Injection,Web,Misconfiguration,Server,False,True,6,503406,117,True,True,False
22,Data Leak,Network,Misconfiguration,IoT,True,True,36,129511,188,True,False,True
15,SQL Injection,Web,Zero-day,Mobile,False,True,11,408936,220,True,False,True
11,SQL Injection,Physical,Misconfiguration,Desktop,True,False,21,75458,154,True,True,False
16,Malware,Physical,Known,Mobile,True,False,42,269521,171,False,True,True
17,Malware,Network,Misconfiguration,IoT,True,True,25,615617,92,True,True,True
4,Data Leak,Insider,Zero-day,Desktop,False,False,30,860474,214,True,False,True
1,Phishing,Physical,Zero-day,Server,False,False,18,635632,63,False,False,False
8,Phishing,Network,Zero-day,Mobile,False,True,25,772818,182,False,False,False
17,Data Leak,Physical,Zero-day,Desktop,True,False,21,277026,223,True,False,False
3,Data Leak,Email,Zero-day,Desktop,False,False,23,230291,57,False,True,True
20,Phishing,Network,Known,IoT,False,True,30,973352,117,True,True,False
15,SQL Injection,Web,Misconfiguration,Desktop,True,False,44,156893,101,True,True,True
15,Data Leak,Physical,Known,Desktop,False,True,46,375932,21,False,False,True
22,SQL Injection,Web,Known,IoT,False,True,18,14181,154,True,False,False
14,Data Leak,Network,Zero-day,Server,True,False,33,329083,222,True,False,True
23,Data Leak,Physical,Misconfiguration,Server,True,True,45,455320,27,False,True,True
14,SQL Injection,Web,Misconfiguration,Desktop,False,False,35,243166,203,False,True,False
2,SQL Injection,Insider,Misconfiguration,Server,False,False,46,711624,141,False,False,False
13,Phishing,Insider,Zero-day,IoT,True,True,22,111975,189,False,True,True
14,Data Leak,Email,Known,Server,True,False,24,658440,161,False,False,False
19,Malware,Network,Misconfiguration,Desktop,True,True,23,128377,145,True,True,False
7,Malware,Web,Known,IoT,False,False,1,600464,121,True,True,True
3,Data Leak,Email,Misconfiguration,Server,True,True,15,437880,134,False,False,False
15,Data Leak,Network,Misconfiguration,Mobile,False,True,28,13151,214,True,False,False
23,Data Leak,Insider,Misconfiguration,Mobile,True,True,42,287988,182,True,True,True
14,SQL Injection,Web,Misconfiguration,IoT,False,True,20,158424,26,True,False,True
11,Malware,Physical,Zero-day,Server,True,True,36,367890,173,True,True,False
15,Malware,Insider,Zero-day,Desktop,True,True,43,926808,142,True,True,True
13,Malware,Physical,Known,Mobile,False,True,16,840496,177,True,False,False
18,Data Leak,Physical,Zero-day,Server,True,True,5,973279,98,False,False,True
6,SQL Injection,Web,Misconfiguration,Server,True,False,43,432085,234,False,True,True
3,Data Leak,Web,Known,Desktop,False,False,15,796968,80,True,False,False
19,Phishing,Physical,Known,Desktop,False,False,2,409470,41,True,True,True
15,Phishing,Email,Known,Server,True,False,24,667663,17,True,False,True
23,Malware,Physical,Misconfiguration,Desktop,True,False,13,474761,62,False,True,True
5,Data Leak,Physical,Misconfiguration,IoT,False,False,23,352779,163,True,False,False
10,Phishing,Web,Known,Mobile,False,False,12,982937,129,True,False,False
7,Phishing,Network,Zero-day,Mobile,False,False,46,62804,66,True,False,True
17,Data Leak,Insider,Misconfiguration,Server,False,True,33,394421,149,True,False,False
7,SQL Injection,Web,Misconfiguration,Server,True,False,44,920413,65,False,True,False
22,Data Leak,Email,Zero-day,Desktop,True,False,45,534460,239,False,False,False
12,Data Leak,Insider,Known,Mobile,True,False,25,633042,59,True,False,False
17,SQL Injection,Web,Zero-day,Desktop,False,False,35,717906,60,True,False,True
13,Malware,Web,Misconfiguration,Server,False,True,35,708156,47,True,False,False
20,Malware,Network,Known,Server,True,True,1,639043,50,True,False,True
4,Malware,Email,Known,Server,False,False,43,76487,31,True,False,True
10,SQL Injection,Email,Zero-day,Server,False,False,4,569733,148,False,False,False
3,Phishing,Web,Misconfiguration,Server,True,True,31,181263,130,False,True,True
9,SQL Injection,Network,Misconfiguration,Server,True,True,28,990579,163,False,True,False
13,Data Leak,Web,Known,IoT,False,True,11,561732,52,False,True,True
18,SQL Injection,Physical,Misconfiguration,IoT,True,False,32,430952,176,True,False,True
15,Phishing,Physical,Known,Desktop,True,True,2,897473,63,False,False,True
4,Phishing,Network,Known,IoT,False,True,44,910071,75,False,True,False
15,Data Leak,Web,Known,Desktop,False,True,13,197049,72,True,True,False
22,Malware,Network,Misconfiguration,Desktop,False,True,17,914248,90,True,True,False
2,Phishing,Web,Zero-day,IoT,False,True,4,757723,26,True,True,False
15,Phishing,Web,Known,Mobile,True,True,31,888089,160,False,False,True
8,Phishing,Physical,Zero-day,Desktop,False,False,38,469713,204,True,False,True
8,Data Leak,Insider,Zero-day,Server,False,False,3,945170,20,False,False,False
17,Phishing,Email,Zero-day,Desktop,True,True,43,646974,219,False,True,True
12,Malware,Email,Zero-day,Desktop,True,True,12,837591,109,True,True,True
19,Data Leak,Network,Zero-day,Mobile,True,True,44,660387,103,True,True,False
10,Malware,Email,Known,Server,False,False,18,172140,190,False,False,False
9,Phishing,Physical,Misconfiguration,Mobile,False,False,30,168828,102,False,False,False
5,Phishing,Insider,Zero-day,Mobile,True,False,46,131398,120,True,True,True
6,Malware,Web,Misconfiguration,Mobile,False,False,11,166457,25,False,False,False
20,Data Leak,Web,Misconfiguration,Desktop,True,True,24,353404,175,False,False,False
2,Data Leak,Physical,Known,Server,False,False,21,19502,35,False,True,True
13,Malware,Email,Zero-day,Server,True,True,35,920872,166,False,False,True
6,Phishing,Web,Misconfiguration,Mobile,True,True,4,989762,69,False,False,True
5,SQL Injection,Email,Misconfiguration,IoT,True,True,26,232867,191,True,True,True
1,Malware,Physical,Zero-day,Server,True,True,8,928617,130,False,True,False
21,Malware,Web,Known,Server,True,True,24,945894,226,True,False,False
22,Malware,Network,Known,Mobile,True,True,43,538761,23,False,True,False
21,Phishing,Insider,Zero-day,Desktop,False,True,45,254752,109,True,False,False
6,Data Leak,Email,Misconfiguration,Mobile,False,True,12,301391,234,False,True,True
6,Phishing,Email,Known,IoT,True,False,5,248635,132,False,False,False
23,Malware,Email,Known,IoT,False,True,16,468631,52,True,False,False
16,Phishing,Email,Misconfiguration,Mobile,False,False,32,891852,147,True,False,False
4,Phishing,Physical,Misconfiguration,IoT,False,True,29,857856,115,False,True,False
11,Malware,Physical,Misconfiguration,Desktop,False,True,33,231595,183,True,True,False
23,Phishing,Physical,Misconfiguration,Desktop,True,True,41,680071,176,True,True,True
9,SQL Injection,Physical,Zero-day,Desktop,False,True,14,426465,216,True,False,False
23,Phishing,Web,Misconfiguration,IoT,False,True,25,982804,110,True,True,False
3,Phishing,Physical,Known,Desktop,False,False,8,824387,115,True,True,True
19,Data Leak,Web,Misconfiguration,Mobile,True,True,27,385679,205,False,False,True
8,Data Leak,Network,Misconfiguration,Desktop,True,False,35,474740,159,False,False,False
5,Malware,Physical,Zero-day,IoT,False,True,22,408812,195,True,False,True
4,Malware,Network,Zero-day,Server,False,False,7,896214,50,False,True,True
6,Data Leak,Physical,Misconfiguration,IoT,False,False,36,51246,50,False,False,True
2,SQL Injection,Network,Zero-day,Mobile,False,False,47,784241,155,True,False,False
20,Phishing,Insider,Zero-day,Mobile,False,True,12,29122,34,False,True,True
11,SQL Injection,Network,Zero-day,IoT,True,False,9,926370,65,False,True,False
4,SQL Injection,Web,Zero-day,Desktop,True,False,45,635402,225,True,False,False
15,Data Leak,Email,Misconfiguration,Desktop,False,True,35,192382,228,True,False,True
6,Malware,Network,Zero-day,Server,False,True,39,295583,30,False,True,False
22,Phishing,Email,Zero-day,Desktop,False,True,19,702071,20,False,True,False
17,Malware,Insider,Known,Mobile,True,False,28,439579,217,True,False,True
6,SQL Injection,Insider,Misconfiguration,Desktop,True,True,29,249474,152,False,False,True
19,SQL Injection,Web,Zero-day,IoT,False,True,8,270710,173,False,False,False
2,Malware,Web,Known,IoT,True,False,43,21157,160,False,True,False
15,Malware,Network,Zero-day,Server,False,True,27,190189,110,True,False,True
11,Data Leak,Physical,Misconfiguration,Mobile,True,True,5,761809,183,False,True,False
8,Malware,Insider,Known,IoT,True,True,29,567374,120,False,True,True
19,Malware,Email,Known,Mobile,True,True,35,333055,61,False,True,False
13,Data Leak,Physical,Misconfiguration,Desktop,True,False,33,388826,38,True,False,False
12,Malware,Insider,Known,Server,True,True,32,896574,124,True,False,False
5,SQL Injection,Network,Known,Server,True,False,21,7276,222,False,True,True
6,Malware,Insider,Zero-day,Desktop,False,True,10,519854,107,True,True,False
22,Phishing,Web,Known,IoT,False,False,42,629821,231,True,True,False
4,SQL Injection,Email,Misconfiguration,Mobile,False,False,16,800324,118,True,True,True
19,Data Leak,Email,Zero-day,Mobile,False,True,11,100508,231,False,False,True
20,SQL Injection,Web,Known,Mobile,False,True,19,342662,182,False,True,True
1,Data Leak,Physical,Zero-day,IoT,False,True,13,748554,59,True,False,False
20,Phishing,Web,Misconfiguration,Desktop,False,False,15,133601,97,True,False,False
17,Phishing,Email,Known,Mobile,False,False,42,288329,216,True,True,False
12,SQL Injection,Network,Misconfiguration,IoT,False,True,36,324218,15,True,True,True
15,Malware,Physical,Misconfiguration,Mobile,True,False,32,211977,41,False,True,True
1,SQL Injection,Insider,Known,IoT,False,True,19,660933,36,True,True,False
14,SQL Injection,Network,Known,Desktop,False,True,15,101050,42,False,True,False
6,Phishing,Physical,Zero-day,Mobile,True,True,38,837049,190,True,True,True
5,Data Leak,Email,Misconfiguration,Desktop,False,True,22,52584,49,True,False,True
11,SQL Injection,Email,Known,Server,False,False,13,680592,17,True,False,True
4,Malware,Network,Misconfiguration,IoT,True,True,20,249953,180,False,True,False
13,Phishing,Physical,Known,Server,True,False,15,289052,232,True,False,False
11,SQL Injection,Insider,Misconfiguration,Desktop,True,True,7,41143,58,False,False,False
3,SQL Injection,Insider,Zero-day,Desktop,False,True,22,976997,147,True,True,True
1,Malware,Web,Misconfiguration,Desktop,False,False,43,111072,216,True,True,False
6,SQL Injection,Network,Known,Mobile,False,False,20,668327,149,False,True,False
18,SQL Injection,Physical,Zero-day,Mobile,False,True,19,576399,236,True,True,False
10,SQL Injection,Network,Zero-day,Desktop,False,True,27,448549,231,False,True,True
5,SQL Injection,Insider,Known,Desktop,False,False,8,716830,184,True,True,False
23,Malware,Physical,Zero-day,Mobile,False,False,18,579907,112,False,False,True
10,SQL Injection,Email,Misconfiguration,Mobile,False,False,10,372061,125,False,False,False
12,SQL Injection,Email,Misconfiguration,IoT,False,True,41,725490,71,False,True,False
2,SQL Injection,Physical,Known,Desktop,False,True,35,541911,99,False,True,True
13,Phishing,Network,Misconfiguration,Mobile,True,True,15,83739,171,True,True,False
8,Malware,Network,Known,Mobile,False,True,23,143559,95,False,True,True
2,Phishing,Email,Zero-day,Server,True,False,12,830977,205,False,True,False
20,Phishing,Email,Misconfiguration,Desktop,False,False,27,359217,178,False,True,True
1,Malware,Insider,Known,Desktop,True,False,6,644926,182,True,False,False
5,Phishing,Physical,Misconfiguration,Mobile,False,False,24,517143,35,False,True,False
9,Phishing,Network,Zero-day,Server,False,False,22,480718,112,True,True,False
17,Phishing,Insider,Zero-day,IoT,True,False,9,98056,195,True,False,True
9,Malware,Network,Misconfiguration,Desktop,True,True,10,446375,158,False,True,True
11,SQL Injection,Email,Zero-day,IoT,True,True,3,526901,188,False,False,True
15,Data Leak,Physical,Known,Desktop,True,False,6,170480,151,True,False,True
6,Data Leak,Web,Misconfiguration,Mobile,True,False,26,246069,17,True,True,True
23,Malware,Physical,Misconfiguration,IoT,True,True,45,130763,37,False,True,True
3,Data Leak,Web,Zero-day,Desktop,False,False,14,342238,155,False,False,True
17,Malware,Insider,Known,IoT,False,True,36,260176,52,True,True,True
5,Malware,Web,Misconfiguration,Mobile,True,True,42,399849,176,False,True,True
12,Data Leak,Web,Misconfiguration,Server,False,False,19,467428,236,True,True,False
18,Phishing,Insider,Zero-day,Server,False,False,39,210783,168,False,True,False
14,SQL Injection,Physical,Zero-day,IoT,True,True,23,600498,174,True,True,False
21,Data Leak,Insider,Known,IoT,False,True,5,440667,34,True,True,False
11,Data Leak,Email,Known,IoT,False,False,44,56053,60,True,False,False
9,Data Leak,Email,Zero-day,Desktop,True,True,15,492171,116,False,True,False
2,Data Leak,Web,Known,Mobile,True,False,30,738314,69,True,False,True
12,Malware,Insider,Zero-day,IoT,False,True,33,76327,151,True,False,False
3,Malware,Insider,Misconfiguration,Server,False,False,38,236113,65,False,True,True
3,SQL Injection,Insider,Zero-day,Desktop,True,True,19,653531,71,False,True,False
1,SQL Injection,Physical,Zero-day,IoT,True,False,5,729472,94,True,False,False
8,Data Leak,Network,Zero-day,Desktop,False,False,9,560968,187,False,True,False
22,Data Leak,Network,Misconfiguration,IoT,False,False,7,788976,180,False,False,False
8,Data Leak,Network,Known,IoT,True,False,24,646324,82,False,False,True
11,SQL Injection,Physical,Known,Desktop,True,False,41,768530,154,False,True,True
9,Data Leak,Insider,Known,Mobile,False,True,16,203505,232,True,True,False
5,Phishing,Network,Zero-day,Mobile,True,True,37,127648,131,False,True,True
14,SQL Injection,Insider,Zero-day,Server,True,False,10,464392,152,True,False,True
3,Phishing,Web,Known,Mobile,False,True,21,6612,222,True,False,False
21,Data Leak,Network,Misconfiguration,Mobile,True,True,21,428573,79,False,False,True
5,Malware,Web,Misconfiguration,Desktop,True,False,47,753359,26,True,False,True
5,Phishing,Physical,Misconfiguration,Desktop,True,True,15,454900,194,True,False,False
19,SQL Injection,Email,Misconfiguration,Server,True,True,13,238719,65,False,False,True
14,Phishing,Physical,Zero-day,IoT,True,True,7,253989,228,True,False,True
4,SQL Injection,Physical,Known,Desktop,True,False,40,31887,78,True,False,False
13,Data Leak,Physical,Misconfiguration,Desktop,False,True,8,270695,199,False,True,False
10,Phishing,Network,Zero-day,Desktop,True,True,43,892706,107,False,False,True
18,Malware,Web,Zero-day,Mobile,True,False,41,22815,33,False,False,True
8,Phishing,Network,Zero-day,Desktop,False,True,38,320547,172,True,True,True
8,Malware,Email,Known,Server,False,False,2,295864,234,False,False,False
7,SQL Injection,Physical,Zero-day,Server,False,True,37,254920,227,True,True,False
8,Data Leak,Insider,Known,Desktop,True,False,22,240894,96,True,False,True
14,Data Leak,Email,Known,IoT,False,False,4,184962,38,False,False,False
19,Malware,Web,Known,Desktop,False,False,47,938579,40,True,True,False
6,SQL Injection,Email,Known,Server,False,True,7,79140,50,True,False,False
1,Data Leak,Network,Zero-day,IoT,True,False,1,282899,121,True,True,True
23,SQL Injection,Insider,Zero-day,Mobile,False,True,19,565792,70,True,True,True
15,Malware,Network,Zero-day,Desktop,True,True,30,343058,222,True,True,False
1,Malware,Physical,Misconfiguration,Server,True,True,2,344357,72,False,True,True
17,Phishing,Physical,Misconfiguration,Mobile,False,True,13,176001,46,False,False,True
1,Data Leak,Email,Known,Server,True,False,28,68543,16,True,False,False
15,Data Leak,Physical,Known,Mobile,True,False,14,369586,215,False,False,False
23,Phishing,Physical,Known,Server,True,False,3,826180,96,True,False,False
2,Malware,Web,Known,Server,True,True,16,903255,191,True,False,True
14,Malware,Web,Known,Mobile,True,False,25,23463,188,True,True,True
21,Malware,Network,Misconfiguration,Desktop,False,True,46,29612,97,True,True,True
8,Malware,Network,Known,Server,True,True,47,634751,136,True,True,False
8,SQL Injection,Web,Zero-day,IoT,True,False,3,568802,69,False,True,True
19,Data Leak,Email,Known,Desktop,True,False,34,121649,26,False,True,False
7,Data Leak,Web,Zero-day,IoT,True,True,3,230258,219,False,True,True
19,Malware,Network,Zero-day,Server,False,True,41,716772,205,True,False,False
6,Malware,Insider,Zero-day,Mobile,False,False,29,4806,177,False,False,False
6,Malware,Physical,Zero-day,Desktop,True,False,40,6826,131,True,False,True
3,Data Leak,Insider,Known,Mobile,True,False,19,15808,88,True,False,False
7,Data Leak,Insider,Known,Mobile,False,True,20,805532,164,False,False,False
19,Malware,Physical,Known,IoT,True,True,21,254098,24,True,True,True
8,SQL Injection,Web,Known,IoT,True,False,20,56655,64,True,False,True
10,Phishing,Email,Known,Desktop,False,True,28,711042,177,False,True,True
20,Phishing,Insider,Misconfiguration,Desktop,False,True,47,932072,158,True,False,True
15,Phishing,Email,Zero-day,Desktop,True,False,27,991256,50,True,False,True
15,Data Leak,Network,Zero-day,IoT,False,False,44,286231,75,False,True,True
1,Data Leak,Insider,Misconfiguration,IoT,True,True,46,477623,89,True,False,True
20,Phishing,Network,Misconfiguration,Mobile,True,True,25,526026,31,True,True,True
7,Phishing,Web,Known,Mobile,True,False,2,276150,103,True,False,False
4,SQL Injection,Insider,Known,Mobile,True,False,43,758985,143,False,True,False
6,Data Leak,Network,Zero-day,Desktop,False,False,24,753308,26,False,False,True
1,Data Leak,Network,Known,Server,False,False,33,621042,17,True,True,False
5,Phishing,Web,Zero-day,IoT,False,False,19,232816,129,True,True,True
23,SQL Injection,Email,Known,Desktop,True,True,26,665380,87,True,True,True
1,SQL Injection,Email,Known,IoT,False,False,46,336480,97,True,False,False
4,Phishing,Insider,Zero-day,Server,True,False,41,451647,161,True,False,True
22,Phishing,Web,Misconfiguration,IoT,False,True,3,931916,141,True,True,True
2,Data Leak,Insider,Misconfiguration,IoT,True,False,27,445514,128,False,False,False
10,Phishing,Email,Known,IoT,True,True,14,831997,98,True,True,True
5,Malware,Web,Misconfiguration,Mobile,False,False,20,735823,89,True,True,True
10,SQL Injection,Physical,Known,Server,True,True,35,978381,230,False,True,True
1,Phishing,Web,Misconfiguration,Desktop,True,True,23,323630,36,False,True,False
22,Malware,Web,Misconfiguration,Desktop,False,False,25,724371,15,False,True,True
6,SQL Injection,Physical,Zero-day,Desktop,False,False,4,475397,67,True,True,True
13,Malware,Network,Misconfiguration,Server,True,True,2,99619,186,True,False,True
15,Malware,Network,Known,IoT,True,True,2,902596,24,True,True,False
4,Phishing,Network,Zero-day,Desktop,True,False,25,622110,217,True,False,False
13,SQL Injection,Email,Misconfiguration,Server,True,True,47,154726,22,True,True,True
20,Malware,Web,Zero-day,Mobile,False,True,23,165390,159,False,False,False
15,Data Leak,Physical,Misconfiguration,Server,False,True,21,265616,212,True,True,True
8,SQL Injection,Email,Known,Mobile,True,False,45,533360,149,True,True,False
5,Data Leak,Physical,Known,Server,True,True,25,450408,139,False,True,True
15,Phishing,Email,Zero-day,Mobile,True,False,27,423274,77,False,True,True
4,Data Leak,Email,Misconfiguration,Desktop,True,True,11,10156,109,True,False,True
12,SQL Injection,Email,Misconfiguration,Server,False,True,14,625778,179,False,False,False
13,Malware,Physical,Zero-day,Mobile,False,False,17,529515,82,False,False,True
2,Malware,Insider,Zero-day,IoT,False,False,15,721107,78,True,True,False
19,SQL Injection,Email,Known,Desktop,False,False,46,400520,21,True,True,True
19,Malware,Network,Zero-day,Desktop,True,True,31,46472,158,False,False,True
4,Data Leak,Web,Misconfiguration,Mobile,True,True,34,304660,231,False,False,True
4,Malware,Insider,Zero-day,Mobile,True,False,36,348539,114,False,True,True
11,Malware,Insider,Known,Server,False,True,40,171148,28,False,True,False
5,Data Leak,Physical,Zero-day,Mobile,False,False,44,483131,178,False,True,False
20,Data Leak,Insider,Misconfiguration,Mobile,False,True,13,449737,131,True,True,False
11,Data Leak,Physical,Zero-day,IoT,False,False,18,950396,87,False,False,True
10,Phishing,Physical,Zero-day,Desktop,True,False,17,837914,25,False,False,True
8,Data Leak,Network,Zero-day,Mobile,True,True,45,635694,142,False,True,False
6,Data Leak,Email,Known,Mobile,False,False,44,909943,143,True,True,True
6,Phishing,Insider,Known,IoT,False,False,39,925383,23,True,False,True
8,Malware,Email,Known,Mobile,True,False,28,469387,39,False,True,False
23,Data Leak,Email,Known,IoT,True,False,26,447641,118,False,True,False
15,SQL Injection,Email,Misconfiguration,Desktop,True,False,14,421170,29,True,False,True
14,Data Leak,Physical,Misconfiguration,Desktop,True,True,37,627167,72,True,True,False
11,Data Leak,Email,Known,IoT,True,False,11,208535,38,True,True,True
12,Phishing,Insider,Known,IoT,False,True,32,12804,86,False,False,False
13,SQL Injection,Physical,Known,Desktop,True,False,24,397585,130,False,False,False
8,Malware,Insider,Zero-day,Desktop,True,True,31,414281,107,True,True,True
18,Malware,Physical,Misconfiguration,IoT,False,False,40,217250,213,False,False,True
1,SQL Injection,Web,Zero-day,Server,True,True,41,804766,141,True,False,False
15,Data Leak,Web,Known,Desktop,True,False,8,577375,188,False,True,False
8,Phishing,Web,Misconfiguration,Desktop,False,False,39,946993,32,False,False,False
11,SQL Injection,Web,Known,IoT,False,True,8,273834,209,True,False,True
12,SQL Injection,Physical,Zero-day,IoT,False,True,47,326525,77,True,True,False
12,Malware,Email,Misconfiguration,IoT,False,True,31,125639,125,True,False,True
4,Phishing,Network,Zero-day,Server,False,False,19,341587,166,False,False,False
16,SQL Injection,Network,Misconfiguration,IoT,False,True,36,776035,98,True,False,True
4,Phishing,Web,Known,Server,True,False,39,227561,173,True,True,True
5,Data Leak,Email,Misconfiguration,IoT,True,True,32,735855,232,True,True,True
5,Malware,Insider,Zero-day,IoT,True,False,21,76889,180,True,True,True
8,Data Leak,Email,Zero-day,Server,True,False,23,753424,57,False,False,True
10,Phishing,Insider,Zero-day,Mobile,False,True,36,839271,22,True,True,False
17,Data Leak,Network,Zero-day,Desktop,False,False,15,606272,238,False,False,False
9,Malware,Email,Known,IoT,False,False,2,831999,214,True,False,True
22,Phishing,Email,Zero-day,Mobile,True,True,12,67457,147,True,True,True
19,SQL Injection,Network,Known,Server,False,True,38,153098,94,True,True,False
14,Data Leak,Email,Misconfiguration,IoT,True,True,6,5071,41,False,True,True
8,Malware,Insider,Zero-day,Server,False,True,46,774764,140,False,True,True
9,SQL Injection,Email,Misconfiguration,Server,True,True,38,732022,205,False,True,True
22,Malware,Insider,Misconfiguration,Server,False,False,1,42577,207,True,True,True
11,Phishing,Web,Known,Mobile,False,False,38,151285,77,True,True,False
23,Phishing,Email,Zero-day,Server,True,False,26,241036,147,True,True,True
1,Data Leak,Insider,Known,Desktop,False,False,23,625401,81,True,True,False
14,Malware,Network,Zero-day,IoT,False,True,1,363434,66,True,True,False
5,Malware,Web,Misconfiguration,IoT,True,True,21,223823,95,True,False,False
21,Malware,Email,Known,Desktop,True,False,19,468117,239,False,False,False
14,Phishing,Insider,Zero-day,IoT,False,False,29,525000,97,False,False,False
4,Data Leak,Email,Misconfiguration,Desktop,False,False,26,902699,146,False,False,True
22,Malware,Insider,Known,Mobile,False,False,34,848349,91,True,False,False
23,Malware,Email,Known,Server,False,False,17,596512,193,True,False,True
1,SQL Injection,Web,Known,Mobile,False,True,18,581135,185,True,True,False
22,Malware,Web,Known,Desktop,False,False,32,673217,197,False,False,False
23,Data Leak,Email,Misconfiguration,Server,True,False,4,506044,232,True,False,False
19,SQL Injection,Email,Misconfiguration,Mobile,False,False,30,162964,55,True,False,True
8,SQL Injection,Physical,Misconfiguration,Server,True,False,31,474711,173,False,True,True
15,SQL Injection,Email,Misconfiguration,Server,True,True,18,774949,49,True,False,True
21,Phishing,Email,Zero-day,Mobile,False,True,5,3326,222,False,False,False
15,SQL Injection,Web,Misconfiguration,IoT,True,False,32,230591,71,True,True,True
9,Malware,Email,Known,Desktop,False,False,29,908259,166,True,True,True
21,Phishing,Network,Known,Mobile,True,True,12,524976,67,True,False,True
9,Phishing,Email,Known,Mobile,False,True,15,857573,44,False,True,False
10,Phishing,Physical,Known,IoT,True,True,15,562746,137,True,True,False
20,Phishing,Insider,Zero-day,Desktop,False,False,35,114882,223,False,True,True
21,Phishing,Web,Known,Mobile,True,False,35,269391,219,False,False,False
9,Phishing,Network,Known,Server,True,False,43,122822,116,False,True,False
3,Phishing,Insider,Known,Desktop,True,False,14,397338,149,True,False,False
20,SQL Injection,Network,Misconfiguration,IoT,True,False,39,567016,151,False,False,True
11,Data Leak,Web,Misconfiguration,Mobile,True,False,18,485428,163,False,False,True
6,Malware,Physical,Zero-day,Server,True,False,38,750996,172,True,False,False
2,Malware,Web,Zero-day,Desktop,False,False,22,704491,115,True,True,False
7,SQL Injection,Network,Zero-day,Mobile,False,False,38,523550,36,True,False,False
18,SQL Injection,Network,Known,Desktop,True,False,11,395328,189,False,True,True
2,Phishing,Web,Zero-day,Server,True,False,3,450161,76,True,False,False
17,Data Leak,Email,Misconfiguration,Server,True,True,14,131518,45,False,True,True
11,Phishing,Web,Misconfiguration,Desktop,False,True,44,300769,146,False,False,True
12,SQL Injection,Physical,Misconfiguration,Server,True,False,25,277842,24,False,True,True
19,Phishing,Web,Known,Server,True,False,14,855045,44,True,True,True
22,Malware,Insider,Known,Desktop,True,False,47,353141,236,True,True,True
7,Malware,Email,Zero-day,Desktop,False,True,31,281287,149,True,False,False
20,Phishing,Insider,Zero-day,IoT,True,False,25,710789,157,True,False,False
6,Data Leak,Web,Zero-day,Mobile,False,False,41,861676,161,True,False,False
21,Phishing,Email,Zero-day,IoT,True,False,19,662996,88,False,True,False
1,Phishing,Insider,Known,IoT,True,True,12,580854,181,True,False,True
17,Data Leak,Insider,Misconfiguration,IoT,False,False,7,897400,105,True,False,False
11,Data Leak,Email,Known,IoT,True,True,14,537623,17,True,False,False
22,Data Leak,Email,Zero-day,Mobile,True,False,29,792904,113,False,True,True
18,Malware,Network,Known,Desktop,True,True,47,756403,66,True,True,True
21,Phishing,Email,Misconfiguration,Server,False,True,14,871680,138,False,False,True
17,SQL Injection,Web,Known,Server,False,False,23,342491,224,False,True,True
7,Data Leak,Physical,Misconfiguration,Desktop,True,False,14,697594,102,True,False,False
17,Data Leak,Network,Zero-day,Desktop,True,True,23,747554,27,True,False,False
20,Phishing,Email,Known,Desktop,False,False,8,44188,58,False,False,True
9,SQL Injection,Physical,Zero-day,Server,False,True,13,5566,223,True,False,False
17,Phishing,Network,Zero-day,IoT,True,True,36,755342,31,False,False,True
20,Phishing,Web,Misconfiguration,IoT,True,False,44,886630,89,False,True,True
